Title,Director,Cast,Year,Genre,combo
aisaa kyon,Unknown,unknown,2003,unknown,
aman ke farishtey,Unknown,unknown,2003,unknown,
andaaz,Suneel Darshan,priyanka kumar chopra lara dutta akshay,2003,romance,
armaan,Honey Irani,kapoor randhir zinta amitabh anil gracy bachan singh preity,2003,family drama,
baaja,Unknown,unknown,2003,unknown,
baap ka baap,Unknown,unknown,2003,unknown,
baaz: a bird in danger,Tinnu Verma,kapoor shroff jackie karisma morea sunil dino shetty,2003,thriller,
baghban,Ravi Chopra,khan malini rimi soni bachchan suman ranganathan divya verma paresh samir mahima amitabh sen salman chaudhry hema dutta rawal aman,2003,family drama,
bas yun hi,Raja Menon,purab kohli nandita sameer da sandhya shetty malhotra,2003,drama,
basti,Unknown,soni samir faisal khan,2003,action,
bhoot,Ram Gopal Varma,fardeen urmila khan devgan patekar rekha matondkar nana ajay,2003,horror,
boom,Unknown,madhu shroff jackie sapre bachchan grover lakshmi padma katrina amitabh kaif gulshan,2003,thriller,
butterfly,Unknown,unknown,2003,unknown,
the bypass,Unknown,unknown,2003,unknown,
calcutta mail,Sudhir Mishra,kapoor mukerji koirala manisha anil rani,2003,drama,
chalte chalte,Aziz Mirza,khan mukerji rani shahrukh,2003,comedy musical drama romance,
chokher bali,Unknown,rai aishwarya,2003,drama,
chori chori,Milan Luthria,sonali mukerji devgan ajay rani bendre,2003,romance,
chota jadugar,Jose Punnoose,tirlok suraj balasubramaniam balajee kumar p malik s pooja,2003,unknown,
chupke se,Unknown,syed makhija zulfi masumeh,2003,unknown,
chura liyaa hai tumne,Sangeeth Sivan,khan esha zayed deol,2003,romance action drama thriller,
dabdaba,Unknown,unknown,2003,unknown,
danav,Unknown,unknown,2003,unknown,
darna mana hai,Unknown,khan yadav ali saif rajpal vivek antara kapoor aftab sohail oberoi shivdasani patekar mali koppikar isha shetty shilpa nana reddy sanjay sameera,2003,horror thriller,
dhoop,Unknown,puri revathi suri sanjay om,2003,unknown,
dhund: the fog,Unknown,aditi upadhyay gowitrikar sameer,2003,unknown,
dil ka rishta,Unknown,raakhee rampal rai aishwarya paresh koppikar chatterjee arjun isha priyanshu rawal,2003,drama romance,
dil pardesi ho gayaa,Unknown,unknown,2003,romance,
dum,Unknown,diya mirza vivek oberoi kulkarni atul,2003,romance action drama,
ek alag mausam,Unknown,da kher anupam nandita,2003,unknown,
ek aur ek gyarah,Unknown,amrita dutt sanjay arora govinda,2003,comedy,
ek din 24 ghante,Anant Balani,rahul nandita da bose,2003,unknown,
escape from taliban,Unknown,manisha koirala,2003,drama,
final solution,Unknown,unknown,2003,unknown,
footpath,Unknown,aftab emraan dev rahul hashmi bipasha shivdasani basu,2003,drama,
fun 2shh: dudes in the 10th century,Imtiaz Punjabi,jalal farida paresh grover gulshan rawal,2003,unknown,
gangaajal,Prakash Jha,ajay singh gracy devgan,2003,social drama,
ganges: river to heaven,Unknown,unknown,2003,unknown,
haasil,Tigmanshu Dhulia,khan bhatt jimmy irrfan shergill hrishita,2003,drama,
hawa,Unknown,khan tabu shahbaj,2003,horror,
hawayein,Unknown,unknown,2003,unknown,
the hero: love story of a spy,Anil Sharma,priyanka zinta sunny chopra deol preity,2003,action drama thriller,
humein tumse pyar ho gaya chupke chupke,Unknown,unknown,2003,unknown,
hungama,Priyadarshan,aftab rimi yadav paresh khanna rajpal sen shivdasani rawal akshaye,2003,comedy,
indian babu,Unknown,unknown,2003,unknown,
inteha,Unknown,ashmit vidya malvade patel,2003,drama thriller,
ishq vishk,Ken Ghosh,shahid kapoor amrita rao,2003,romance,
jaal: the trap,Guddu Dhanoa,reema tabu sunny sen deol,2003,action romance,
jajantaram mamantaram,Unknown,javed jaffari,2003,unknown,
janasheen,Unknown,fardeen khan jaitley feroz celina,2003,thriller,
jhankaar beats,Unknown,juhi rahul chawla khanna suri sanjay riya sen rinke bose,2003,musical drama,
jism,Anurag Basu,grover abraham bipasha gulshan john basu,2003,drama romance thriller,
jodi kya banayi wah wah ramji,Unknown,unknown,2003,unknown,
joggers park,Anant Balani,perizaad victor banerjee zorabian,2003,unknown,
kaash... hamara dil pagal na hota,Mangal Anand,nigel ahuja aneja chetan borade mukesh,2003,unknown,
kagaar: life on the edge,N. Chandra,puri nandita da amitabh dayal om,2003,unknown,
kahan ho tum,Unknown,unknown,2003,unknown,
kaise kahoon ke... pyaar hai,Unknown,sunny deol,2003,unknown,
kal ho naa ho,Nikhil Advani,khan jaya zinta bachchan ali saif shahrukh preity,2003,social family comedy musical romance drama,
kash aap hamare hote,Unknown,babbar sonu juhi nigam,2003,romance,
kaya poochhe maya se,Unknown,unknown,2003,unknown,
khanjar: the knife,Chander Sharma,sunil tabu shetty,2003,action,
khel,Yusuf Khan,jaitley sunny ajay sunil celina deol jadeja shetty,2003,thriller,
khushi,Unknown,fardeen khan kapoor amrish puri kareena,2003,romance,
khwahish,Govind Menon,mallika sherawat malik himanshu,2003,drama,
koi... mil gaya,Rakesh Roshan,zinta rekha hrithik roshan preity,2003,fantasy musical romance,
kucch to hai,Unknown,kapoor esha tusshar jeetendra johny tonk lever sen deol rishi yash moonmoon natassha,2003,thriller,
kuch naa kaho,Unknown,khan arbaaz rai abhishek bachchan aishwarya,2003,musical drama romance,
kyon?,Unknown,unknown,2003,unknown,
larger than life,Unknown,unknown,2003,unknown,
loc kargil,J.P. Dutta,khan ali saif khanna dutt nath chaudhry akshaye kapoor tandon devgan bachchan rani deol karan manoj abhishek esha ajay koppikar sunil isha mahima shetty kareena mukerji bajpai sanjay raveena,2003,historical drama war,
love at times square,Unknown,sonu nigam,2003,unknown,
maa santoshi maa,Unknown,unknown,2003,unknown,
main madhuri dixit banna chahti hoon,Unknown,rajpal yadav antara mali,2003,comedy,
main prem ki diwani hoon,Sooraj R. Barjatya,kapoor abhishek bachchan hrithik roshan kareena,2003,comedy drama romance,
market,Unknown,manisha koirala,2003,unknown,
matrubhoomi: a nation without women,Unknown,tulip joshi,2003,drama,
miss india: the mystery,Unknown,unknown,2003,unknown,
mudda: the issue,Unknown,unknown,2003,unknown,
mumbai matinee,Anant Balani,parijat rahul dhandekar anusha zorabian bose,2003,unknown,
mumbai se aaya mera dost,Apoorva Agnihotri,abhishek dutta lara bachchan,2003,drama,
munna bhai m.b.b.s.,Rajkumar Hirani,boman jimmy dutt sunil warsi gracy sanjay irani shergill singh arshad,2003,social comedy musical,
naag lok,Unknown,unknown,2003,unknown,
nayee padosan,Unknown,unknown,2003,unknown,
october,Unknown,unknown,2003,unknown,
om,Unknown,unknown,2003,unknown,
oops!,Dipak Tijori,unknown,2003,unknown,
out of control,Unknown,amrish ritesh brande bhatt puri deshmukh hrishita roderick,2003,romance comedy,
paanch,Unknown,unknown,2003,unknown,
parwana,Unknown,amisha devgan batra ajay patel pooja,2003,action drama thriller,
patth,Unknown,kapoor gunaji payal milind rohatgi hyder sharad kazmi pandey nirmal,2003,unknown,
pehli nazar ka pehla pyaar: love at first sight,Unknown,unknown,2003,unknown,
pinjar,Chandrakant Dwivedi,urmila manoj bajpai matondkar koppikar chatterjee suri isha sanjay priyanshu,2003,social drama,
the pink mirror,Unknown,unknown,2003,unknown,
pran jaye par shaan na jaye,Sanjay Manjerekar,tandon verma khanna shirodkar mirza namrata raveena dia rinke aman,2003,comedy,
qayamat: city under threat,Harry Baweja,kapoor khan arbaaz tandon aashish devgan neha chunky chaudhary ajay koppikar sunil dhupia isha sanjay riya sen pandey raveena shetty,2003,thriller,
raghu more: bachelor of hearts,Unknown,unknown,2003,unknown,
raghu romeo,Rajat Kapoor,unknown,2003,unknown,
raja bhaiya,Unknown,arti govinda chhabriya,2003,unknown,
rasikan re,Unknown,unknown,2003,unknown,
"right here, right now",Unknown,unknown,2003,unknown,
rules: pyaar ka superhit formula,Parvati Balagopalan,milind soman,2003,unknown,
saaya,Unknown,sharma tara mahima chaudhry abraham john,2003,drama,
sala bandar!,Unknown,unknown,2003,unknown,
samay: when time strikes,Unknown,shroff jackie sushant sen singh sushmita,2003,thriller,
sanatta: the silence,Unknown,unknown,2003,unknown,
sandhya,Unknown,unknown,2003,unknown,
satta,Madhur Bhandarkar,raveena tandon,2003,social drama,
satyaghath: crime never pays,Priyadarshan,haneefa anand mohanlal mahesh cochin,2003,unknown,
shanti,Unknown,unknown,2003,unknown,
sssshhh...,Unknown,unknown,2003,unknown,
stumped,Unknown,unknown,2003,unknown,
supari,Unknown,namrata uday chopra shirodkar,2003,unknown,
surya,Unknown,unknown,2003,unknown,
tada,Sishir Mishra,unknown,2003,unknown,
taj mahal: a monument of love,Sanjay Khan,unknown,2003,unknown,
talaash: the hunt begins...,Suneel Darshan,kapoor akshay kumar kareena,2003,thriller,
tareekh,Unknown,unknown,2003,unknown,
tehzeeb,Khalid Mohammad,kapoor urmila rampal diya shabana matondkar shirodkar azmi arjun namrata rishi mirza,2003,unknown,
tere naam,Satish Kaushik,khan bhoomika chawla salman,2003,drama romance,
tu bal bramhachari main hoon kanya kunwari,Unknown,unknown,2003,unknown,
tujhe meri kasam,Unknown,ritesh d souza deshmukh genelia,2003,romance,
tumse milke wrong number,Unknown,anand tinnu,2003,unknown,
valentine days,Unknown,unknown,2003,unknown,
waisa bhi hota hai part ii,Unknown,mridul warsi narayanan arshad sandhya prashant,2003,unknown,
where's the party yaar?,Unknown,pen kal,2003,unknown,
xcuse me,N. Chandra,khan sahil joshi payal rohatgi sharman,2003,comedy,
yeh dil,Unknown,kapoor tushar natassha,2003,unknown,
zameen,Rohit Shetty,devgan abhishek bachchan ajay bipasha basu,2003,thriller,
99.9 fm,Sanjay Bhatia,ali shawar sharma dipannita sen raima,2004,drama comedy,
aabra ka daabra,Dheeraj Kumar,lalwani vishal puran shweta hansika tiwari motwani archana singh,2004,fantasy,
aan: men at work,Madhur Bhandarkar,tandon shatrughan raveena sinha kumar sunil akshay dutta lara shetty,2004,action,
ab bas,Rajesh Kumar Singh,hayden ali shawar diana rohit roy,2004,adult,
ab tumhare hawale watan saathiyo,Anil Sharma,bobby bachchan divya khosla kumar amitabh deol akshay,2004,drama war,
aetbaar,Vikram Bhatt,bipasha bachchan amitabh abraham john basu,2004,thriller,
agnipankh,Sanjeev Puri,dev rahul divya jimmy shamita dutta shergill shetty,2004,unknown,
aitraaz,Abbas-Mustan,kapoor priyanka kumar chopra akshay kareena,2004,drama romance thriller,
asambhav,Rajiv Rai,priyanka arjun chopra rampal,2004,mystery thriller,
banana brothers,Girija Shanker,mann anupam seema gursewak rahmani johny lever grover kher gulshan,2004,comedy,
black friday,Anurag Kashyap,pratima ali imtiaz menon kay aditya srivastava kazmi zakir hussain malhotra pavan,2004,crime fiction drama historical,
bardaasht,E. Jasir,bobby dev ritesh rahul deshmukh deol lara dutta,2004,action drama thriller,
chameli,Sudhir Mishra,kapoor rahul kareena khanna rinke bose,2004,drama,
chand bujh gaya,Sharique Minhaj,khan aliza sikander faizal shama,2004,romance,
charas: a joint operation,Tigmanshu Dhulia,khan bhatt jimmy shirodkar namrata uday chopra irrfan shergill hrishita,2004,action,
deewaar,Milan Luthria,bachchan amrita khanna dutt kay menon rao amitabh sanjay akshaye,2004,drama,
dev,Govind Nihalani,fardeen khan kapoor amrish bachchan puri agnihotri amitabh om rati kareena,2004,drama,
dhoom,Sanjay Gadhvi,rimi abhishek bachchan esha uday chopra abraham deol sen john,2004,action thriller,
dil bechara pyaar ka maara,Omkarnath Mishra,kapoor vikas khan yadav mallika divya kalantri aslam rajpal palat,2004,comedy,
dil maange more,Anant Mahadevan,shahid ayesha kapoor soha khan joshi ali tulip takia,2004,comedy romance,
dil ne jise apna kahaa,Atul Agnihotri,khan zinta bhoomika chawla salman preity,2004,drama romance,
dobara,Shashi Ranjan,shroff jackie tandon mahima chaudhry raveena,2004,drama,
dukaan,Iqbal Durrani,vikas kalantri rambha agnihotri rati,2004,adult romance,
ek se badhkar ek,Kundan Shah,tandon koppikar sunil isha raveena shetty,2004,comedy,
ek hasina thi,Sriram Raghavan,khan urmila seema matondkar ali saif biswas,2004,drama thriller,
fida,Ken Ghosh,fardeen khan kapoor shahid sharma kim kareena,2004,drama romance thriller,
flavours,"Krishna D. K., Raj Nidimoru",anupam pooja reef kumar mittal jicky karim schnee,2004,drama,
garv: pride and honour,Puneet Issar,khan arbaaz shilpa salman shetty,2004,drama,
gayab,Prawal Raman,kapoor yadav mali raghubir tusshar antara,2004,fantasy thriller,
girlfriend,Karan Razdan,aashish amrita chaudhary koppikar isha arora,2004,drama romance,
green card fever,Bala Rajasekharuni,dasu bedi deep vikram katdare purva,2004,drama,
hava aney dey,Partho Sen-Gupta,tannishtha chatterjee nishikant kamat thakur rajshree,2004,drama,
hawas,Karan Razdan,naidu tarun meghna ali shawar arora,2004,erotic romance,
hulchul,Priyadarshan,kapoor shroff jackie arbaaz khan amrish puri paresh khanna sunil warsi arshad akshaye shetty rawal kareena,2004,family romance drama comedy,
hum tum,Kunal Kohli,kapoor khan kirron ali saif rati jimmy agnihotri rani rishi kher shergill mukherji,2004,romance musical drama comedy,
hyderabad blues 2,Nagesh Kukunoor,inamdar dogra elahe jyoti chengappa chopra anu vikram tisca hiptoola,2004,drama,
i - proud to be an indian,Puneet Issar,khan sohail puneet lawrence issar inder tim gulzar chahal,2004,action,
insaaf: the justice,Shrey Srivastava,yadav shirodkar rajpal morea suri namrata sanjay dino henna,2004,action,
inteqam: the perfect game,Pankaj Parashar,manoj bajpai nethra koppikar isha raghuraman,2004,action,
ishq hai tumse,G. Krishna,bipasha morea dino basu,2004,drama,
julie,Deepak Shivdasani,kapoor neha tonk chatterjee dhupia sanjay yash priyanshu,2004,adult drama,
kaun hai jo sapno mein aaya,Rajesh Bhatt,khan anupam richa bapat rakesh kader bhatt rajesh pallod kher,2004,romance,
kaya taran,Sashi Kumar,bedi seema neelambari neeta bhattacharya angad mohindra biswas,2004,drama,
khakee,Rajkumar Santoshi,kapoor devgan rai bachchan tusshar aishwarya kumar ajay amitabh kulkarni akshay atul,2004,action thriller,
khamosh pani,Sabiha Kumar,kirron amar ali malik kher,2004,drama,
king of bollywood,Piyush Jha,kapoor puri dahl om kavita sophie,2004,comedy,
kis kis ki kismat,Govind Menon,shah mallika agnihotri sherawat dharmendra satish rati,2004,comedy,
kismat,Guddu Dhanoa,priyanka chopra deol bobby,2004,thriller,
kiss kis ko,Sharad Sharan,bhosale sudhanshu chaitnya varghese haldipur siddharth oberoi sherrin pandey karan,2004,adult comedy,
krishna cottage,Santram Varma,khan sohail koppikar isha natassha,2004,thriller,
kyun...! ho gaya na,Samir Karnik,diya rai bachchan rati aishwarya sunil agnihotri amitabh vivek oberoi mirza shetty,2004,comedy drama romance,
lakeer - forbidden lines,Ahmed Khan,khan sohail sunny sunil nauheed cyrusi deol abraham john shetty,2004,romance action drama,
lakshya,Farhan Akhtar,kapoor zinta bachchan hrithik roshan amitabh sharad preity,2004,action romance drama war,
let's enjoy,"Ankur Tewari, Siddharth Anand Kumar",aashish sahil govitrikar shiv pandit dhruv gupta chaudhary arzoo chopra shomendra roshni jagasiya bose,2004,adult thriller,
madhoshi,Tanveer Khan,john chatterjee abraham bipasha priyanshu basu,2004,drama romance thriller,
main hoon na,Farah Khan,khan bedi shah rakhi rao sushmita boman bindu sawant kher satish shahrukh kabir zayed naseeruddin sunil irani sen shetty kiron murli sharma amrita,2004,comedy musical action drama,
maqbool,Vishal Bhardwaj,kapoor khan moushumi tabu puri chatterjee irrfan pankaj om,2004,mystery drama,
masti,Indra Kumar,aftab rakhi ritesh devgan d souza deshmukh sharma amrita rao ajay sawant tara vivek oberoi genelia lara dutta shivdasani,2004,comedy,
meenaxi: a tale of three cities,M. F. Hussain,kapoor tabu nadira yadav babbar rajpal kunal,2004,musical drama romance,
meri biwi ka jawab nahin,"S. M. Iqbal, Pankaj Parashar",akshay sridevi kumar,2004,romance action comedy,
mughal-e-azam (colorized version),K. Asif,kapoor madhubala kumar prithviraj dilip,2004,drama,
mujhse shaadi karogi,David Dhawan,khan priyanka kumar chopra salman akshay,2004,romance musical comedy,
murder,Anurag Basu,emraan ashmit mallika hashmi sherawat patel,2004,romance thriller,
musafir,Sanjay Gupta,kapoor koena mitra dutt mahesh reddy sanjay anil manjrekar sameera,2004,thriller,
muskaan,"Rohit Nayyar, Rohit Manash",aftab khan anupam kader gracy kher singh shivdasani,2004,drama romance,
naach,Ram Gopal Varma,ritesh mali bachchan abhishek deshmukh antara,2004,drama,
nothing but life,Rajiv Anchal,sreenivasan r madhavan kaveri,2004,drama,
paap,Pooja Bhatt,john goswami abraham udita,2004,drama,
paisa vasool,Srinivas Bhashyam,rakhi deshpande sushant koirala manisha anand tinu sen sawant makrand singh sushmita,2004,black comedy,
phir milenge,Revathy,khan abhishek bachchan shilpa salman shetty,2004,social drama,
plan,Hriday Shetty,priyanka dutt morea suri reddy sanjay dino chopra riya sen rohit sameera roy,2004,action,
police force: an inside story,Dilip Shukla,akshay raveena tandon kumar,2004,action,
popcorn khao! mast ho jao,Kabir Sadanand,kapoor tanisha nigam tonk akshay yash reshmi,2004,unknown,
raincoat,Rituparno Ghosh,ajay rai aishwarya devgan,2004,drama,
rakht: what if you can see the future,Mahesh Manjrekar,neha abhishek bachchan amrita dutt morea sunil dhupia malik dino himanshu arora bipasha sanjay shetty basu,2004,horror,
rok sako to rok lo,Arindam Chowdhury,pandit sunny yash deol,2004,sport comedy,
rudraksh,Mani Shankar,dutt koppikar sunil isha sanjay bipasha shetty basu,2004,thriller,
run,Jeeva,ayesha abhishek bhoomika bachchan jhulka chawla mahesh manjrekar,2004,romance action drama,
shaadi ka laddoo,Raj Kaushal,aashish bedi divya chaudhary mandira suri sanjay dutta,2004,comedy,
shart: the challenge,Puri Jagannath,kapoor tusshar amrita gracy arora singh,2004,action drama,
sheen,Ashok Pandit,tarun kiran babbar soni anoop juneja arora raj,2004,romance,
shikhaar,Darshan Bagga,sodhi jas kanishka pandher,2004,drama,
shukriya: till death do us apart,Anupam Sinha,aftab anupam saran shriya kher shivdasani,2004,drama,
silence please...the dressing room,Sanjay Srinivas,sonali tom salil ankola alter kulkarni,2004,thriller,
socha na tha,Imtiaz Ali,abhay ayesha jhulka takia deol,2004,comedy romance,
stop?�!,Ajai Sinha,rocky sharma dia mirza ishita karnik bhatia gauri,2004,drama romance,
suno sasurjee,Vimal Kumar,aftab ameesha patel,2004,comedy romantic,
swades,Ashutosh Gowarikar,khan joshi kishori gayatri shahrukh ballal,2004,social drama,
taarzan: the wonder car,Abbas Mustan,ayesha seth devgan ajay takia vatsal,2004,fantasy thriller,
thoda tum badlo thoda hum,Esmayeel Shroff,saran babbar saraf shriya arya ashok,2004,romance,
tumsa nahin dekha,Anurag Basu,emraan mirza hashmi diya,2004,romance,
uff kya jaadoo mohabbat hai,Manoj J. Bhatia,dattani sammir anand mridul kanwal pooja akshay sandhya,2004,romance,
vaastu shastra,Saurab Narang,d ahuja channa chakravarthy ahsaas sen vicky sushmita j,2004,horror,
veer-zaara,Yash Chopra,khan malini kirron anupam zinta manoj bajpai bachchan boman divya kher irani amitabh rani hema dutta mukherji shahrukh preity,2004,family musical drama romance,
wajaah - a reason to kill,Gautama Adhikari,khan arbaaz shamita gracy singh shetty,2004,thriller,
where's the party yaar?,Benny Mathews,sunil diwakar malhotra pathak,2004,comedy,
woh,Raj N. Sippy,khan cleo chatterjee issacs priyanshu shahbaz,2004,thriller,
yeh lamhe judaai ek,Birendra Nath Tiwary,khan raveena tandon shahrukh,2004,drama,
yehi hai zindagi,Ajay Phansekar,parvin khan sahil gracy singh dabbas,2004,drama,
yuva,Mani Ratnam,kapoor devgan abhishek bachchan esha puri ajay vivek oberoi rani deol om mukherji kareena,2004,action drama,
zameer,Kamal,amisha devgan ajay mahima chaudhry patel,2004,action drama,
7?� phere,Ishaan Trvedi,khan irfan juhi chawla,2005,comedy,
99.9 fm (film),Sanjay Bhatia,ali shawar sharma dipannita sen raima,2005,crime thriller,
aashiq banaya aapne,Unknown,emraan sonu tanushree hashmi sood dutta,2005,drama romance,
american daylight,Roger Christian,koel nick purie grover vijay gulshan moran raaz,2005,romance drama comedy,
anjaane,Unknown,kapoor manisha sanjay koirala,2005,thriller,
antarmahal,Unknown,shroff jackie soha khan abhishek bachchan ali sen raima,2005,drama romance,
apaharan,Unknown,devgan patekar nana ajay bipasha basu,2005,drama,
aparichit,S. Shankar,prakash sadha vivek vikram raj,2005,psychological thriller,
bachke rehna re baba,Unknown,shah mallika rekha paresh khanna sherawat karan satish rawal,2005,comedy,
bad friend,Aditya Om,naidu meghna menon shweta aditya om,2005,thriller,
barsaat,Suneel Darshan,bobby priyanka chopra deol bipasha basu,2005,family drama romance,
bewafaa,Dharmesh Darshan,kapoor manoj bajpai kumar shamita sen anil akshay shetty sushmita kareena,2005,drama romance,
bhaggmati,Ashok Kaul,malini tabu soman kaul milind hema ashok,2005,romance,
bhola in bollywood,Sumbul Gazi,khan asgar avtar babbar ali siraj gill raj,2005,comedy,
black,Sanjay Leela Bhansali,ayesha dhritiman bachchan chaterji kapur amitabh rani shernaz patel nandana sen mukherji,2005,social drama,
black friday,Unknown,menon kay malhotra pavan,2005,drama,
blackmail,Anil Devgan,priyanka devgan ajay sunil mirza chopra dia shetty,2005,drama thriller,
bluffmaster!,Unknown,priyanka patekar abhishek bachchan boman deshmukh nana irani chopra riteish,2005,comedy,
brides wanted,Unknown,waheeda rehman girish anuj sawhney jane karnad dia sarah,2005,comedy,
bullet: ek dhamaka,Unknown,asad khan merchant asseem saadhika iqbal sikandar,2005,action,
bunty aur babli,Shaad Ali,abhishek bachchan amitabh rani mukherji,2005,crime romance musical comedy,
chaahat �?? ek nasha,Jai Prakash,jhangiani preeti koirala manisha aryan vaid,2005,romance,
chand sa roshan chehra,Unknown,samir tamanna aftab bhatia,2005,romance,
chausar,Sagar Sarhadi,unknown,2005,unknown,
chehraa,Unknown,khan jhangiani preeti morea dino irrfan bipasha basu,2005,thriller,
chetna,Unknown,payal grewal rohatgi navneet jatin kaur,2005,erotic drama,
chocolate,Vivek Agnihotri,kapoor emraan khan tanushree sushama sunil hashmi warsi anil reddy irrfan arshad dutta shetty,2005,suspense action thriller,
chor mandi,Unknown,khan mukul dev keswani shweta razzak,2005,comedy,
classic - dance of love,Babbar Subhash,chakraborty vikas naidu meghna bhardwaj mithun,2005,erotic thriller,
d,Ram Gopal Varma,randeep chunky koppikar isha pandey hooda,2005,crime drama,
dansh,Unknown,menon kay sonali kulkarni,2005,drama,
deewane huye paagal,Vikram Bhatt,shahid kapoor rimi kumar sunil sen akshay shetty,2005,comedy romantic,
dil jo bhi kahey...,Unknown,bachchan sharma chawla revathi amitabh bhumika karan,2005,family drama,
dosti: friends forever,Unknown,kapoor bobby juhi kumar chawla deol akshay dutta lara kareena,2005,drama romance,
double cross - ek dhoka,Unknown,khan sahil ayesha jhulka negar,2005,unknown,
dreams,Unknown,aashish govitrikar manoj chanana neha bidwani arzoo pendse,2005,unknown,
dus,Nitin Manmohan,khan abhishek esha bachchan shilpa zayed grover dutt sunil mirza sanjay deol sen gulshan raima dia shetty,2005,action thriller,
ek ajnabee,Apoorva Lakhia,rampal bachchan arjun perizaad amitabh zorabian,2005,thriller,
ek khiladi ek haseena,Unknown,fardeen khan koena mitra menon kay,2005,thriller,
elaan,Unknown,chakraborty rampal arjun ameesha patel abraham john dutta lara mithun,2005,action drama,
naam gum jaayega,Amol Shetge,bapat rakesh vaid divya aryan mirza dutta dia,2005,romance,
fareb,Deepak Tijori,manoj bajpai shilpa shamita shetty,2005,thriller,
fun �?? can be dangerous sometimes,Unknown,koirala hina aryan payal rohatgi siddharth vaid rehman,2005,erotic drama,
garam masala,Priyadarshan,rimi neha kumar dhupia sen abraham akshay john,2005,comedy,
hanuman,Unknown,unknown,2005,unknown,
hazaaron khwaishein aisi,Sudhir Mishra,ahuja chitrangada menon kay shiney singh,2005,drama,
home delivery,Sujoy Ghosh,ayesha takia mahima chaudhry vivek oberoi,2005,comedy,
hum dum,Kushan Nandy,sukhani raaj romit anjana,2005,romance,
insan,K. Subash,kapoor dev devgan rahul esha tusshar koena kumar mitra ajay deol akshay dutta lara,2005,action thriller,
iqbal,Nagesh Kukunur,naseeruddin shah talpade shreyas,2005,sport social drama,
jaane hoga kya,Unknown,aftab dev jhangiani preeti rahul paresh bipasha shivdasani rawal basu,2005,suspense thriller,
jackpot,Unknown,naidu malik meghna himanshu,2005,crime erotic,
jai chiranjeeva,K. Vijaya Bhaskar,khan arbaaz dev rahul sharma chawla shriya reddy bhumika sameera,2005,drama,
jalwa - fun in love,Unknown,monalisa kiran bhatt viraaj neha janjani,2005,erotic romance,
james,Unknown,ahlawat mohit kothari nisha,2005,action,
jo bole so nihaal,Unknown,khan sunny sharma kamaal deol shillpi,2005,action comedy,
jurm,Vikram Bhatt,bobby soman milind deol lara dutta,2005,thriller,
kaal,Soham Shah,devgan esha ajay vivek oberoi abraham deol john dutta lara,2005,horror thriller,
kalyug,Unknown,emraan khemu amrita hashmi kunal singh,2005,drama,
karam,Unknown,priyanka ahuja shiney chopra abraham john,2005,thriller,
kasak,Unknown,lucky ali meera,2005,unknown,
khamoshh... khauff ki raat,Unknown,juhi shetty shilpa chawla,2005,thriller,
kisna: the warrior poet,Subhash Ghai,sharvani isha vivek oberoi,2005,historical drama,
koi aap sa,Unknown,aftab malik himanshu shivdasani natassha,2005,drama romance,
koi mere dil mein hai,Unknown,bapat rakesh neha dia chatterjee mirza priyanshu,2005,unknown,
kuchh meetha ho jaye,Unknown,rukh khan shah mahima warsi chaudhry arshad,2005,romance drama comedy,
kyaa kool hai hum,Unknown,kapoor neha tusshar deshmukh koppikar dhupia isha riteish,2005,comedy,
kyon ki,Priyadarshan,kapoor khan rimi jackie shroff puri sunil sen salman om shetty kareena,2005,drama romance,
lucky: no time for love,Radhika Rao,khan chakraborty sneha salman ullal mithun,2005,musical romance,
main aisa hi hoon,Unknown,devgan esha ajay sen deol sushmita,2005,drama,
"main, meri patni aur woh",Unknown,rituparna sen yadav rajpal,2005,unknown,
maine gandhi ko nahin mara,Jahnu Barua,urmila matondkar kher anupam,2005,social drama,
maine pyaar kyun kiya?,Unknown,khan sohail koppikar isha katrina sen salman kaif warsi arshad sushmita,2005,comedy,
mangal pandey: the rising,Ketan Mehta,khan toby ameesha patel rani aamir stephen mukherji,2005,historical drama,
mashooka,Afzal Ahmed,aditya bal naidu meghna,2005,erotic thriller,
mazaa mazaa,Unknown,amiri pankaj payal beri rohatgi shivani singh farid,2005,unknown,
men not allowed,Shrey Srivastav,arora tarun rohatgi payal,2005,romance,
mohabbat ho gayi hai tumse,Unknown,dutt shamita sanjay chandrachur singh shetty,2005,unknown,
morning raga,Unknown,shabana perizaad zorabian azmi,2005,unknown,
mr ya miss,Unknown,aftab mali deshmukh antara riteish shivdasani,2005,comedy,
mr. prime minister,Dev Anand,prem dev hangal anand gunaji a milind k chopra,2005,drama,
mumbai xpress,Singeetam Srinivasa Rao,haasan kamal koirala puri manisha vijay raaz om,2005,unknown,
mumbai godfather,Unknown,vikram singh seema biswas,2005,drama,
my brother�?? nikhil,Unknown,sanjay suri juhi chawla,2005,social drama,
my wife's murder,Jijy Philip,kapoor suchitra krishnamoorthi boman irani nandana anil sen,2005,drama thriller,
naina,Unknown,urmila matondkar,2005,horror thriller,
neal 'n' nikki,Arjun Sablok,tanisha abhishek bachchan uday chopra,2005,romance comedy,
netaji subhas chandra bose: the forgotten hero,Unknown,kharbanda kulbhushan sachin rajit arif zakaria divya kapur khedekar dutta,2005,unknown,
nigehbaan,Unknown,sayaji sinha sandali dharmadhikari shinde sameer namdev govind,2005,unknown,
no entry,Anees Bazmee,kapoor khan fardeen esha jaitly anil salman celina deol bipasha dutta lara basu,2005,comedy,
